,Name,Album,Artist,Listen
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,https://open.spotify.com/track/4uxJICczweCIPZkIA6AN5k
1,Mo Bamba,MUDBOY,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/4a2XVoCZjc6B5Qy70uFtVa
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://open.spotify.com/track/40NU01ZkeQlzMfUuf4aWNm
5,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/5jkFvD4UJrmdoezzT1FRoP
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
7,Whoopty,Whoopty,CJ,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
8,Streets,Hot Pink,Doja Cat,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
10,Paparazzi,Paparazzi,Kim Dracula,https://open.spotify.com/track/7Hqig8kp32q2Ire3ECQvWM
11,hot girl bummer,hot girl bummer,blackbear,https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf
12,Runnin Low,Runnin Low,Kieran Alleyne,https://open.spotify.com/track/04f7fQILKDgLE8aHbF73VO
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,https://open.spotify.com/track/3IfUwAUPyHvq5vfRMXK1WO
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,https://open.spotify.com/track/5XH02x5CtyL9hBUhXnRHSl
