,Name,Album,Artist,Listen
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/album/1EfxWO4kPvf4d2Nj6HCL3D
1,Fearless,Fearless,Lost Sky,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH
2,Ark,Ark,Star Party,https://open.spotify.com/artist/5OWJAKuSdAxdc1WjfYGykP
3,supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/4jJfa4mO5JjV9Tz2aAxE2M
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/album/1EfxWO4kPvf4d2Nj6HCL3D
5,Mortals,Mortals,Warriyo,https://open.spotify.com/artist/6CKI27grld8XoprWN9URSu
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/artist/1FU9J5piutFKQmLEsy2d4q
7,Fearless,Fearless,Lost Sky,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH
8,Ark,Ark,Star Party,https://open.spotify.com/artist/5OWJAKuSdAxdc1WjfYGykP
9,Ark,Ark,Star Party,https://open.spotify.com/artist/5OWJAKuSdAxdc1WjfYGykP
10,Mortals,Mortals,Warriyo,https://open.spotify.com/artist/6CKI27grld8XoprWN9URSu
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/artist/1FU9J5piutFKQmLEsy2d4q
12,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/4jJfa4mO5JjV9Tz2aAxE2M
13,Feel Good,Feel Good,Syn Cole,https://open.spotify.com/playlist/37i9dQZF1DX9XIFQuFvzM4
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/album/1EfxWO4kPvf4d2Nj6HCL3D
15,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/artist/1FU9J5piutFKQmLEsy2d4q
