,Name,Album,Artist,Listen
0,First Class,First Class,Jack Harlow,https://open.spotify.com/artist/4ndt8TW7IvdI3SPh0LBMHO
1,Understand,Serotonin Dreams,BoyWithUke,https://open.spotify.com/track/6dGqGkYDoRrKh5UiIcTT22
2,Wenak وينك,Wenak وينك,Kaysar,https://open.spotify.com/track/6XaMHpySVnX4ZPBylIyCu8
3,Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,https://open.spotify.com/track/0oWraSo5ASJ0h1BEagTyEw
4,About Damn Time,About Damn Time,Lizzo,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
5,Change on Me,Change on Me,Neil Gang,https://open.spotify.com/track/46ZHOT58jHRzBTvvtwaFr9
6,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello,https://open.spotify.com/album/6FIMt58naoGYrOe4Wn2P3n
7,Don't Be Shy,Don't Be Shy,Tiësto,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
8,New York View,Going on 21,Mason & Julez,https://open.spotify.com/track/39UGGQAfCSWIYp1g0OtJJ5
9,Shivers,Shivers,Ed Sheeran,https://open.spotify.com/track/7JYLp2rL6KvMPkQZmHPoyh
10,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
11,Peru,Peru,Fireboy DML,https://open.spotify.com/track/3s1KwrLP0NlFWiWbjz6bfQ
12,Light Switch,Light Switch,Charlie Puth,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
13,Angel Baby,Angel Baby,Troye Sivan,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
14,That's Hilarious,That's Hilarious,Charlie Puth,https://open.spotify.com/track/1jIMjbzcGCcCQn5iMu9CUc
15,The Motto,The Motto,Tiësto,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
