,Name,Album,Artist,Listen
0,Heathens,Heathens,Twenty One Pilots,https://open.spotify.com/track/3vZM2544ETmOCCHuBPZRzm
1,Attention,Voicenotes,Charlie Puth,https://open.spotify.com/track/6tTeRmhhuwDl5Y4UiJdHuO
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
3,Believer,Evolve,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
4,Galway Girl,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
5,Faded,Different World,Alan Walker,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal
7,Fight Song,Wildfire,Rachel Platten,https://open.spotify.com/track/37f4ITSlgPX81ad2EvmVQr
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
9,Shape of You,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
12,Thunder,Evolve,Imagine Dragons,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
13,Havana (feat. Young Thug),Camila,Camila Cabello,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
14,Let Me Love You,Encore,DJ Snake,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
15,Mama,Blue,Jonas Blue,https://open.spotify.com/track/5U1XqpEGLeDd48dDFNqQEC
