,Name,Album,Artist,Listen
0,As It Was,Harry's House,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
1,Late Night Talking,Harry's House,Harry Styles,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
2,Music For a Sushi Restaurant,Harry's House,Harry Styles,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
3,Grapejuice,Harry's House,Harry Styles,https://open.spotify.com/track/26WcB6OPbUFvain4nK3CEZ
4,Matilda,Harry's House,Harry Styles,https://open.spotify.com/artist/15fpp3LXhRhf0tfi1AFMYm
5,Little Freak,Harry's House,Harry Styles,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
6,Daylight,Harry's House,Harry Styles,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6
7,Cinema,Harry's House,Harry Styles,https://open.spotify.com/artist/6l7rKaiWjxytS2xOXUmAVo
8,Daydreaming,Harry's House,Harry Styles,https://open.spotify.com/track/1Rd5OVjqDAr5xC96MHt448
9,Love Of My Life,Harry's House,Harry Styles,https://open.spotify.com/track/790YJcgHlN3SaosQCHlWzn
10,Satellite,Harry's House,Harry Styles,https://open.spotify.com/artist/6Zj6Lw27BR8Iwqc6GBpOLs
11,Keep Driving,Harry's House,Harry Styles,https://open.spotify.com/track/0fNRrYWtCoWXuG0WuOJMcu
12,Boyfriends,Harry's House,Harry Styles,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
13,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
14,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
15,Moscow Mule,Un Verano Sin Ti,Bad Bunny,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
